structure,T_K,replicas,t_total_ps,D_int_tot_cm2s_mean,D_int_tot_cm2s_std,D_int_xy_cm2s_mean,D_int_xy_cm2s_std,D_int_z_cm2s_mean,D_int_z_cm2s_std,alpha_int_mean,alpha_int_std,N_eff_hops_mean,N_eff_hops_std,RSD_D_est_mean,RSD_D_est_std,n_li_interior_stay_mean,n_li_interior_stay_std,n_li_llzo_drift_mean,n_li_llzo_drift_std,slab_thick_drift_A_mean,slab_thick_drift_A_std,E_per_atom_drift_meV_mean,E_per_atom_drift_meV_std,framework_rms_A_mean,framework_rms_A_std,n_int_cm3_mean,n_int_cm3_std,j0_tres0_mean,j0_tres0_std,jumps_tres0_mean,Rct_tres0_mean,j0_tres200_mean,j0_tres200_std,jumps_tres200_mean,Rct_tres200_mean,j0_tres1000_mean,j0_tres1000_std,jumps_tres1000_mean,Rct_tres1000_mean
seed3_792at_LLZO110ct_vac1pfu,700.0,5,2970.0,7.029744075413716e-08,3.2000975000576e-08,7.690415922917718e-08,3.652984256797201e-08,5.708400380405712e-08,3.0472878177818664e-08,0.7006654092757858,0.06203137333817501,35.73503389916452,14.923075472141814,0.6585587080406745,0.15617339676960573,68.6,2.1908902300206643,0.04147015422570497,1.83467775291065,0.047180979883513205,0.22262564487129435,-1.4923451577939455,1.4237533998995806,1.039453680771172,0.22230254105021038,2.374247437198544e+22,2.6927225292274496e+20,647607.4442591452,112166.04492276484,551.6,9.314490339592506e-08,125620.06863138014,19578.383204968977,107.0,4.801886632541738e-07,25589.84471131607,2217.3603739165137,21.8,2.35723715850942e-06
seed3_792at_LLZO110ct_vac1pfu,800.0,5,2968.0,1.8973960111860863e-07,4.5157193965323385e-08,2.052743789259519e-07,5.076872446326645e-08,1.5867004550392204e-07,3.874383108212222e-08,0.8441159424319897,0.04852823379786428,91.19713666147575,21.452959788178955,0.39389391570014765,0.04574278988439579,68.2,1.7888543819998317,-0.5632054151277177,3.50761560855268,0.14363737054593656,0.376894832646543,-1.2925075032991733,0.6233312444040943,1.2854071778956042,0.21734672257900653,2.4150987000543357e+22,4.161446213602488e+20,1113458.6757212444,169709.08700902475,947.8,6.191398710988971e-08,161885.00265286714,19149.312051892328,137.8,4.2584961525945916e-07,22085.907473685795,3040.8486194992734,18.8,3.121387073550716e-06
seed4_1378at_Li111_LLZO001_vac0p5pfu,500.0,5,3114.0,1.379278933897335e-08,2.2839938176167373e-09,8.552692906467057e-09,1.5358323606456858e-09,2.427298220398594e-08,6.5224427908972464e-09,0.4372071664649784,0.032911835400136064,13.828835836581828,2.350332813584568,1.004348471526385,0.09129006659706883,99.4,8.324662155306964,1.7548686156637365,2.9535518620216976,0.043419736185398745,0.13783082117827558,4.060606021808119,0.8328736705805645,0.7960709344058123,0.07948993342031621,2.705220511127407e+22,1.8112048858447104e+21,60589.18400770788,13924.423167245763,153.0,7.111280175768453e-07,33903.05297589164,5301.7103613821055,85.6,1.270878653336583e-06,10696.061254880056,2145.6332236559756,27.0,4.028274079894765e-06
seed4_1378at_Li111_LLZO001_vac0p5pfu,600.0,5,2978.0,6.924092012858011e-08,2.275446340609041e-08,5.432774218158023e-08,1.9513132080897767e-08,9.906727602257987e-08,3.145621053639836e-08,0.7049118628855517,0.06609593923106183,54.72956666848624,16.252933282075407,0.5143128530911393,0.07990156416289494,104.8,2.6832815729997477,1.8474667191188854,3.1261195884662145,-0.002524758234098894,0.12324863008071407,3.0221023206946134,0.5449979384566741,0.9314299903677077,0.050738820673410255,2.8154961651604356e+22,6.201210858041748e+20,184589.65563295165,18427.478534640417,445.0,2.8010236757151286e-07,71098.12803480431,7446.933940612237,171.4,7.27220265865363e-07,18334.52309882351,1388.2138083575842,44.2,2.820035148627223e-06
seed4_1378at_Li111_LLZO001_vac0p5pfu,700.0,5,2978.0,2.685556155989186e-07,4.5249146275839274e-08,2.4488384037914885e-07,3.807608594311843e-08,3.158991660384583e-07,7.015960347274747e-08,0.7823304700124704,0.037379830831368324,174.16822722486054,33.26751094723113,0.2830673241544427,0.02395251912986319,88.6,4.159326868617084,5.8174161551264145,4.17158145222715,0.04138308233801496,0.07801724375749475,3.3119897703912136,0.7444205237230516,1.2524540963534592,0.11127034652558415,2.7190965234593616e+22,1.1663242662485968e+21,431151.6585727864,68994.59038625367,1039.4,1.399074586276157e-07,109011.59887716788,8370.49677249447,262.8,5.533478405538193e-07,16841.21352516368,808.6100726442633,40.6,3.5817687807276784e-06
seed4_1378at_Li111_LLZO001_vac0p5pfu,800.0,5,2972.0,7.157647822460338e-07,7.663586759414735e-08,7.229971832344658e-07,1.021117833184046e-07,7.012999802691694e-07,5.943061918944134e-08,0.8513981323842851,0.02170019887200895,324.9036039274407,33.8507091361578,0.2059313469624237,0.010611166687771106,64.4,2.1908902300206643,3.0027877097654314,3.2489229616320077,-0.049904018762191714,0.12008618775051343,5.215003387862775,0.7001017406981653,1.6189074186509695,0.15522833790939106,2.737761614259246e+22,9.44064293070361e+20,951005.6859783983,60644.87217114234,2288.0,7.249027751613875e-08,126282.8360371143,2725.475990076252,303.8,5.45906856856929e-07,8565.587151222453,2062.153175208427,20.6,8.048329306434211e-06
unseen_2frames_dftfe_labelled_idx0,500.0,5,3098.0,1.8731445804869725e-09,3.84321637011518e-09,2.0615858632368693e-09,4.3169344714727895e-09,1.496262014987178e-09,2.8982393748358844e-09,0.09775797719973851,0.18179748404350188,1.5307247347023805,1.2269545162737034,3.378905405953078,0.8359971623064453,42.4,1.140175425099138,0.2583303924619682,0.49063946211204473,-0.010510321134421846,0.007371050389911197,0.6600925189047425,1.0335513485234722,0.22738978721544495,0.0011519626809019027,2.5161815636358323e+22,7.568586284149097e+20,6993.145891699911,2887.2000866264525,4.4,6.161270904006035e-06,6039.535088286287,3445.6315953117182,3.8,7.134103152006988e-06,4768.0540170681215,2973.404088916683,3.0,9.03653065920885e-06
unseen_2frames_dftfe_labelled_idx0,600.0,5,2958.0,8.476756026915038e-09,9.940652508051514e-09,9.797033010603068e-09,1.1188986215528844e-08,5.836202059538978e-09,7.786620905432119e-09,0.320716911695373,0.24395694419847624,3.620193284035038,2.877903605491985,2.2942654936973312,0.8207517857764287,43.2,1.3038404810405297,0.06142228697763297,0.09040837610025838,-0.0028411154742209828,0.008028607956110318,1.1422539244733718,0.1482374217430072,0.25214502469931155,0.0010536861166849539,2.55480511384953e+22,5.5801759858151444e+20,38345.74255807269,10544.337830779228,23.0,1.3483634980779654e-06,32677.241484270642,7694.477214483975,19.6,1.5822632885608778e-06,18005.826940312392,5453.573931603801,10.8,2.8715148570178897e-06
unseen_2frames_dftfe_labelled_idx0,700.0,5,2958.0,5.527214197213256e-08,2.652432230667724e-08,6.268848460888058e-08,3.419071266635131e-08,4.043945669863651e-08,1.3647679480092252e-08,0.7267973471328422,0.13307607400154167,17.72315874561367,6.753113446193296,0.9175311031286263,0.17322858883280814,44.0,1.0,0.37501017568443407,0.6861857328242157,-0.0033757745381064984,0.018493724931713116,1.1797188145190756,0.22124894202659962,0.27816280692438305,0.002340004479113856,2.546763659450423e+22,3.668518923847875e+20,105700.87296442645,19248.83239095552,63.4,5.706796088079717e-07,68022.01288562459,14312.74916232349,40.8,8.867913529025836e-07,27008.74041046859,4774.152004216919,16.2,2.233400444347247e-06
unseen_2frames_dftfe_labelled_idx0,800.0,5,2958.0,1.1251308855137799e-07,5.957852146324557e-08,8.647539340843102e-08,3.0962822731457095e-08,1.645884788372719e-07,1.2222076874837452e-07,0.8013276837408135,0.17580942269878932,34.04923131968472,15.885221815158529,0.6788182901554181,0.1594389256831076,43.0,1.5811388300841898,5.435447150227229,4.878893465327419,-0.08400158858423927,0.07457872438009794,-0.3227330529457896,1.4049025901359447,0.31371280113280087,0.006958561698235453,2.5908888545753494e+22,7.496139580155391e+20,326105.53236343554,38229.58706953056,195.6,2.1139986677432313e-07,141712.52684505124,17164.938385192225,85.0,4.8646839930656e-07,41013.27247515601,6934.455535602841,24.6,1.6808867455714471e-06
unseen_2frames_dftfe_labelled_idx1,500.0,5,3106.0,1.042156021046978e-09,1.6417169048854261e-09,8.496517912400238e-10,1.2837195475881558e-09,1.4271644806608854e-09,2.3761777490487126e-09,0.08386572233769592,0.12375277899384213,1.9761697626557126,0.900288339282343,2.767181940790329,0.5078868763904283,68.8,1.0954451150103321,0.14760398492190535,0.30697820420925626,0.02369298803259874,0.017895752429387558,-1.2020301299105898,0.46137876459706245,0.7445168464006974,0.17947037395214266,2.531786331254922e+22,4.019220595415246e+20,57601.04181718219,17654.163523175022,51.4,7.480188717202577e-07,37203.92331158245,11629.156762246894,33.2,1.1581215762958556e-06,18602.708890577196,4368.159269511617,16.6,2.316150113590426e-06
unseen_2frames_dftfe_labelled_idx1,600.0,5,2970.0,2.2845931165677225e-08,1.5570372099219798e-08,2.02859276093225e-08,1.536886596779715e-08,2.7965938278386663e-08,1.722428491521442e-08,0.572667534334971,0.18455216444121791,12.566387881649202,7.403049199883454,1.1722650741126994,0.3713255032111403,69.4,0.8944271909999159,2.5442787545967596,1.9263968166416146,-0.04334216942971295,0.06014753265847296,-0.9270762114895911,0.7623766617870541,1.3828165386732014,0.6098019611145308,2.547779344554876e+22,2.1791977682919028e+20,151876.41249479348,29931.40984604231,129.4,3.4043469109314446e-07,91080.65225794897,15792.791151080395,77.6,5.676726976610732e-07,29819.061036064413,2140.194902956045,25.4,1.733924468965238e-06
unseen_2frames_dftfe_labelled_idx1,700.0,5,2968.0,2.2952106644581828e-07,2.094891928974229e-07,2.779374423008396e-07,2.980800592472742e-07,1.3268831473577573e-07,3.292363121098927e-08,0.8909027775178039,0.16869485777483814,105.64145727514412,88.2533058769771,0.4167520542999207,0.11935335334821623,67.8,1.3038404810405297,8.417104883799194,3.0782826983224165,-0.23441007775753092,0.30285035112685044,-0.25734635702614794,0.9674958941579707,2.0785300949276713,0.276367592247088,2.483156304884003e+22,3.627546746251794e+20,374285.6447402283,36556.311140922364,318.6,1.6116389629601162e-07,159770.39449049294,8908.227949032273,136.0,3.775501276463919e-07,33833.73059798674,3658.838718979897,28.8,1.7828756027746285e-06
unseen_2frames_dftfe_labelled_idx1,800.0,5,2968.0,1.562123447924853e-06,4.7416827539534877e-07,2.1449221564121263e-06,7.061921978989369e-07,3.9652603095030587e-07,3.3216738477649524e-08,0.936421372094671,0.09323804238204306,729.0117155729844,192.3565787743264,0.1397065599588779,0.017145089060217753,68.2,0.4472135954999579,19.90938259259062,3.020392751890779,-0.5256569153901189,0.14446805917672503,0.4651353358104847,0.7371449430824598,3.6922544881258275,0.3301792437376862,2.4783332116578284e+22,3.641836134457457e+20,946169.6744311989,109486.93839207095,805.4,7.286078592345849e-08,197128.47202576997,18711.88900890463,167.8,3.497144039496632e-07,35713.382297874894,10850.054376838889,30.4,1.930331479695838e-06
