structure,T_K,replicas,t_total_ps,D_int_tot_cm2s_mean,D_int_tot_cm2s_std,D_int_xy_cm2s_mean,D_int_xy_cm2s_std,D_int_z_cm2s_mean,D_int_z_cm2s_std,alpha_int_mean,alpha_int_std,N_eff_hops_mean,N_eff_hops_std,RSD_D_est_mean,RSD_D_est_std,n_li_interior_stay_mean,n_li_interior_stay_std,n_li_llzo_drift_mean,n_li_llzo_drift_std,slab_thick_drift_A_mean,slab_thick_drift_A_std,E_per_atom_drift_meV_mean,E_per_atom_drift_meV_std,framework_rms_A_mean,framework_rms_A_std,n_int_cm3_mean,n_int_cm3_std,j0_tres0_mean,j0_tres0_std,jumps_tres0_mean,Rct_tres0_mean,j0_tres10_mean,j0_tres10_std,jumps_tres10_mean,Rct_tres10_mean,j0_tres20_mean,j0_tres20_std,jumps_tres20_mean,Rct_tres20_mean,j0_tres50_mean,j0_tres50_std,jumps_tres50_mean,Rct_tres50_mean,j0_tres100_mean,j0_tres100_std,jumps_tres100_mean,Rct_tres100_mean,j0_tres200_mean,j0_tres200_std,jumps_tres200_mean,Rct_tres200_mean,j0_tres500_mean,j0_tres500_std,jumps_tres500_mean,Rct_tres500_mean
seed3_792at_LLZO110ct_vac1pfu,700.0,5,970.0,1.2385892910183933e-07,5.304634001927359e-08,1.2227685624289452e-07,4.983160810816643e-08,1.2702307481972896e-07,7.877546286310125e-08,0.6089431029364794,0.11482343030184208,20.339993311430725,7.451432329402825,0.8656569095426125,0.20435421341998605,71.0,1.0,0.7744904104450407,3.4115078292950525,-0.02501485821783478,0.25486088891025144,-0.9438725701522811,0.8917568866443276,0.9241187549357456,0.13793532255277066,2.374247437198544e+22,2.6927225292274496e+20,713532.8887603718,109247.69721084244,184.2,8.453896629599917e-08,614401.2813429696,85115.04055923587,158.6,9.817904790522005e-08,492068.17028969136,66815.3832991829,127.0,1.2258734963183558e-07,342448.5347622078,30706.173460859605,88.4,1.7614714828868056e-07,213789.83083503242,22515.157153697062,55.2,2.8215248872405916e-07,134754.4038534609,27384.77712532457,34.8,4.4763904636168046e-07,nan,nan,0.0,inf
seed3_792at_LLZO110ct_vac1pfu,800.0,5,968.0,2.4337026359327436e-07,8.079438946733204e-08,2.5061222672803956e-07,7.565688349252942e-08,2.288863373237439e-07,9.515598821130459e-08,0.7370828934108762,0.08496241220566941,38.43202089226174,11.870525485687557,0.6132427934591007,0.08910512186124103,73.0,1.8708286933869707,1.4342094271804309,4.33354992598966,-0.12443116779245149,0.3928692631212412,-0.541714976093022,1.2554077713849268,1.0433522307337613,0.2110073793473474,2.4150987000543357e+22,4.161446213602488e+20,1280169.489218813,195752.39235403275,329.8,5.385120226390324e-08,1058915.2112155613,115259.63537700112,272.8,6.510310303018802e-08,826792.3020121501,118882.58507467351,213.0,8.338087561800607e-08,503838.6892074042,54716.17810230135,129.8,1.3682686060581888e-07,300440.0196044151,46628.34343079025,77.4,2.2945899879373762e-07,155266.16000228171,36926.75207410442,40.0,4.440031626658823e-07,nan,nan,0.0,inf
seed4_1378at_Li111_LLZO001_vac0p5pfu,500.0,5,1114.0,2.7254055694746817e-08,1.0964797263899505e-08,1.5762164866010742e-08,4.981179138136288e-09,5.023783735221897e-08,2.466515889579191e-08,0.3614770509811291,0.08466781599245905,8.135048866691164,2.6211511021654355,1.3392978820852792,0.21860913382567534,99.4,8.324662155306964,4.880465928645316,3.158860723791608,-0.019497655788141728,0.13711100361562237,-0.5712460565700233,0.9172548954255754,0.7192211840762457,0.055199363822733556,2.705220511127407e+22,1.8112048858447104e+21,68742.17014443502,19762.439022787956,58.4,6.267865302982154e-07,65918.36066667041,17102.687718906287,56.0,6.53636799735911e-07,64028.06500110024,17487.772357637332,54.4,6.729340689783395e-07,55329.075125053154,15083.878427492264,47.0,7.787346203170174e-07,47329.05720609282,9170.886336673451,40.2,9.103639255348049e-07,36491.268984659095,7074.100253476608,31.0,1.1807390509799373e-06,15544.912952414108,3287.0975153001896,13.2,2.7717534631359057e-06
seed4_1378at_Li111_LLZO001_vac0p5pfu,600.0,5,978.0,1.010129766374979e-07,2.2531296915534762e-08,6.197853903399801e-08,1.8986514358028545e-08,1.7908185184449768e-07,4.003649519867033e-08,0.5920410823891837,0.06664092613509569,25.158002065591283,4.295126999824786,0.7447274943242587,0.06832546917187357,107.0,2.23606797749979,5.372280085950286,2.8518141593856163,0.0401920875736575,0.12824259596423992,-1.6888721283685009,0.6367258302954732,0.8295982351351234,0.07142803099312324,2.8154961651604356e+22,6.201210858041748e+20,189542.4090253177,34379.21646873088,139.4,2.7278327756768017e-07,170506.58602420977,27892.117616340372,125.4,3.032375509803398e-07,152558.52433745083,26841.62627293795,112.2,3.3891255697802687e-07,125364.49147872519,19642.86567722786,92.2,4.124293806175121e-07,95994.9359913015,16333.407142756927,70.6,5.386117406931249e-07,64993.738532354284,11908.067953431324,47.8,7.955227801869166e-07,nan,nan,0.0,inf
seed4_1378at_Li111_LLZO001_vac0p5pfu,700.0,5,978.0,3.805431987164836e-07,5.33888340941424e-08,3.0422584956647387e-07,7.418246086087704e-08,5.331778970165033e-07,5.2337891416900594e-08,0.7757156943703423,0.031082541843690394,81.42945760026487,13.945479184686345,0.4133279593490856,0.03247888675901105,101.0,5.612486080160912,2.5491759545352783,4.764928932038027,0.08386723320780262,0.12631953169085994,-2.022329877365422,0.8783875701235642,1.0631780696440607,0.10955087208819417,2.7190965234593616e+22,1.1663242662485968e+21,480518.56061368214,74910.79968536807,353.4,1.2553382486820516e-07,432113.1821251504,67503.4010877866,317.8,1.3959614131033263e-07,386971.0875796659,57939.88490892801,284.6,1.5588072279839673e-07,290704.2112597771,38318.50561553305,213.8,2.075007189355646e-07,196340.91723999914,32867.11356849971,144.4,3.0722751875639685e-07,112311.35570653691,5816.599574305106,82.6,5.370902386007712e-07,nan,nan,0.0,inf
seed4_1378at_Li111_LLZO001_vac0p5pfu,800.0,5,972.0,1.0917397522472445e-06,2.3179615066022815e-07,9.881052742051672e-07,1.9453517980908786e-07,1.2990087083313985e-06,3.308753884207229e-07,0.8681001220837246,0.050981094934635984,215.88273360269787,46.622330829651034,0.25581094064285886,0.030624168480772776,95.6,4.979959839195494,2.5939097013157353,4.259762543507175,-0.014393714705056012,0.08837897702024787,-0.9084980025449655,0.7210494026959994,1.28922177708188,0.05923775530585703,2.737761614259246e+22,9.44064293070361e+20,969460.3789167616,122266.19801589948,708.2,7.111034921615823e-08,843218.660571626,98174.44414179168,616.0,8.175657076809212e-08,712357.0895936012,76589.79988284581,520.4,9.677543342108017e-08,442975.757093788,25953.230132276658,323.6,1.5562627297774247e-07,257347.03307389878,14372.961912163426,188.0,2.678821095100942e-07,123494.11848141425,8426.747681619501,90.2,5.582344077898349e-07,nan,nan,0.0,inf
unseen_2frames_dftfe_labelled_idx0,500.0,5,1098.0,9.553545033149417e-09,1.273445544859581e-08,6.937943353656162e-09,8.441677253779793e-09,1.4784748392135928e-08,2.153336460649483e-08,0.1610626317309801,0.17882840138772502,1.8018071370257052,1.1602817036651782,3.0662096814212565,0.8365594623345125,42.4,1.140175425099138,0.7282666791214721,0.8543907977608111,-0.009196651299530678,0.009363829497784405,-1.2421161253222455,1.600247814582336,0.22707853760484026,0.003979979749106811,2.5161815636358323e+22,7.568586284149097e+20,10503.733157974115,7845.179439050996,2.2,4.102033597196813e-06,10503.733157974115,7845.179439050996,2.2,4.102033597196813e-06,10503.733157974115,7845.179439050996,2.2,4.102033597196813e-06,10503.733157974115,7845.179439050996,2.2,4.102033597196813e-06,10503.733157974115,7845.179439050996,2.2,4.102033597196813e-06,10503.733157974115,7845.179439050996,2.2,4.102033597196813e-06,nan,nan,0.0,inf
unseen_2frames_dftfe_labelled_idx0,600.0,5,958.0,1.0411597826571091e-08,1.3276547008988796e-08,1.3103934426305645e-08,1.7817985876918708e-08,5.026924627101972e-09,4.838906562332968e-09,0.15683718683665077,0.18420201998370522,2.0431426151779943,1.152446590571242,2.8480242340524313,0.7734964896285336,43.2,1.3038404810405297,0.13933464095024145,0.25507861180323843,0.0008554681064207239,0.015759521673068974,-0.034591680189980004,0.2993243357331357,0.25341488900123255,0.002038998108132677,2.55480511384953e+22,5.5801759858151444e+20,51091.90313798216,16844.501638907186,9.2,1.0119803020914054e-06,48870.51604502641,15902.711454606002,8.8,1.0579794067319238e-06,48870.51604502641,15902.711454606002,8.8,1.0579794067319238e-06,46649.12895207066,14481.672079283222,8.4,1.1083593784810631e-06,43317.04831263705,15902.711454606004,7.8,1.1936177922103753e-06,38874.27412672556,16660.403197168096,7.0,1.3300312541772754e-06,nan,nan,0.0,inf
unseen_2frames_dftfe_labelled_idx0,700.0,5,958.0,7.96073566032615e-08,7.0210443360787e-08,8.931635040336184e-08,8.170023122424086e-08,6.018936900306077e-08,4.8891723637145786e-08,0.5192023516254529,0.18393963025577206,8.516543398833372,6.047396233275033,1.4238956345070732,0.3867061616583965,44.0,1.0,0.31495927647040933,0.4916297121086405,-0.013481898602319775,0.016450642570785927,0.19756866144267546,0.7218817349551626,0.2770141552446471,0.0018398155178601901,2.546763659450423e+22,3.668518923847875e+20,102183.80627596434,36753.720476101684,18.4,5.903218428866529e-07,98851.7256365307,39930.9391235351,17.8,6.1022033197272e-07,97741.03209005282,38193.971806121845,17.6,6.171546539269555e-07,93298.25790414134,36289.2665204914,16.8,6.465429707806199e-07,73305.77406753962,26459.228777526005,13.2,8.228728719026072e-07,52202.596684460026,17823.084460982216,9.4,1.1555236073525975e-06,nan,nan,0.0,inf
unseen_2frames_dftfe_labelled_idx0,800.0,5,958.0,1.968253459460978e-07,1.0476907252226257e-07,1.7770833582516043e-07,9.456007178344241e-08,2.3505936618797262e-07,1.4304769442675545e-07,0.7054075001873686,0.09619238733437266,18.709231341644482,9.310452964382554,0.904670628036097,0.17208120829036538,43.8,1.0954451150103321,0.9585011290144758,0.9416870439030844,-0.022392297117758142,0.01676708932107013,-0.47484324436209724,1.0347030683833864,0.30577623154452926,0.0021745025673088375,2.5908888545753494e+22,7.496139580155391e+20,332097.37039688404,78675.21511655534,59.8,2.0758570299310875e-07,309883.4994673265,67834.19325915015,55.8,2.2246639854817036e-07,286558.9349912912,62658.2779104407,51.6,2.405741286625563e-07,224360.09638853036,44704.55289770723,40.4,3.0726794650960153e-07,179932.35452941543,42037.953338307634,32.4,3.831365752774044e-07,105515.88691539795,21508.488041244276,19.0,6.533486862625212e-07,nan,nan,0.0,inf
